epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.856,1.12832,3.08998,1.42731,0.61345,0.38837,0.39797,0.29849,1.12398,2.15417,1.44324,9.2556e-05,9.2556e-05,9.2556e-05
2,1131.28,1.05965,1.89245,1.37782,0.67748,0.48744,0.50166,0.37173,1.1116,1.76479,1.41168,0.00017911,0.00017911,0.00017911
3,1687.63,1.02038,1.59751,1.32851,0.53314,0.594,0.58332,0.43727,1.11855,1.54206,1.38867,0.000259549,0.000259549,0.000259549
4,2227.25,0.98611,1.42338,1.2947,0.61305,0.63492,0.64265,0.49301,1.02698,1.32012,1.29452,0.000250478,0.000250478,0.000250478
5,2768.66,0.95371,1.30466,1.2702,0.61571,0.65632,0.65839,0.50092,0.9893,1.22497,1.28864,0.000241304,0.000241304,0.000241304
6,3306.46,0.9319,1.22233,1.25587,0.70946,0.65037,0.66957,0.51811,0.97205,1.15062,1.25968,0.00023213,0.00023213,0.00023213
7,3841.69,0.90264,1.14514,1.23745,0.73992,0.6746,0.71258,0.54461,0.97561,1.07877,1.26139,0.000222956,0.000222956,0.000222956
8,4378.09,0.89056,1.09389,1.22601,0.6805,0.7091,0.73713,0.57107,0.94381,0.99508,1.23665,0.000213782,0.000213782,0.000213782
9,4920.38,0.87454,1.03896,1.21717,0.68992,0.6963,0.723,0.55935,0.9695,0.9811,1.25624,0.000204608,0.000204608,0.000204608
10,5458.36,0.86701,1.0032,1.21217,0.66252,0.73775,0.73407,0.56749,0.95296,0.95355,1.23796,0.000195434,0.000195434,0.000195434
11,5994.56,0.85472,0.97225,1.20328,0.73485,0.7016,0.74504,0.5771,0.93426,0.94275,1.22725,0.00018626,0.00018626,0.00018626
12,6532.83,0.84069,0.93874,1.1951,0.7173,0.7119,0.74862,0.58523,0.93386,0.92041,1.23721,0.000177086,0.000177086,0.000177086
13,7071.63,0.83035,0.91305,1.18951,0.71488,0.72408,0.73766,0.57719,0.92489,0.90523,1.23055,0.000167912,0.000167912,0.000167912
14,7607.59,0.82025,0.89109,1.18264,0.69876,0.73214,0.74843,0.58501,0.92397,0.8605,1.21713,0.000158738,0.000158738,0.000158738
15,8163.35,0.81396,0.87299,1.18123,0.73683,0.73078,0.76558,0.59235,0.93208,0.85272,1.22441,0.000149564,0.000149564,0.000149564
16,8720.16,0.80161,0.8458,1.17242,0.73622,0.69566,0.75282,0.59088,0.92152,0.87366,1.22886,0.00014039,0.00014039,0.00014039
17,9267.18,0.7937,0.82636,1.16754,0.72879,0.75722,0.76323,0.59412,0.92586,0.85358,1.22718,0.000131216,0.000131216,0.000131216
18,9812.81,0.79077,0.81894,1.16743,0.69864,0.77358,0.77085,0.60632,0.90641,0.81996,1.20206,0.000122042,0.000122042,0.000122042
19,10361.2,0.78036,0.79678,1.15803,0.71108,0.75211,0.76412,0.59507,0.91961,0.83648,1.22431,0.000112868,0.000112868,0.000112868
20,10907.4,0.76884,0.77349,1.15179,0.70346,0.74394,0.76678,0.60041,0.9052,0.81993,1.21679,0.000103694,0.000103694,0.000103694
21,11415.5,0.73626,0.64188,1.18089,0.72386,0.75991,0.77149,0.60572,0.90057,0.80929,1.19425,9.452e-05,9.452e-05,9.452e-05
22,11929.1,0.71352,0.60515,1.16789,0.69931,0.76426,0.76466,0.60114,0.8931,0.80852,1.2025,8.5346e-05,8.5346e-05,8.5346e-05
23,12440.1,0.6984,0.58387,1.15659,0.72373,0.76456,0.77068,0.60245,0.88222,0.78641,1.18794,7.6172e-05,7.6172e-05,7.6172e-05
24,12949.1,0.68824,0.56685,1.14831,0.71628,0.76813,0.76759,0.60433,0.88322,0.80211,1.19606,6.6998e-05,6.6998e-05,6.6998e-05
25,13458.6,0.68024,0.5497,1.14757,0.70859,0.77037,0.76041,0.60243,0.87916,0.78933,1.19149,5.7824e-05,5.7824e-05,5.7824e-05
26,13965.5,0.66857,0.53911,1.13598,0.73205,0.7584,0.76233,0.59996,0.87443,0.80354,1.19177,4.865e-05,4.865e-05,4.865e-05
27,14475.1,0.65807,0.5293,1.13193,0.72388,0.75988,0.76971,0.60629,0.87892,0.79712,1.19009,3.9476e-05,3.9476e-05,3.9476e-05
28,14983.5,0.64737,0.50954,1.11888,0.72085,0.76038,0.77395,0.61176,0.87296,0.7805,1.19234,3.0302e-05,3.0302e-05,3.0302e-05
29,15491.6,0.64217,0.50467,1.11312,0.71821,0.7765,0.77136,0.6091,0.87863,0.78349,1.19646,2.1128e-05,2.1128e-05,2.1128e-05
30,16004,0.63565,0.49223,1.11197,0.72619,0.77354,0.77224,0.60925,0.87298,0.78427,1.19454,1.1954e-05,1.1954e-05,1.1954e-05
